================================================================================
 MOTION PREDICTION V8 ??TEMPORAL GRU + TRAJ REFINER + LATE-HORIZON LOSS
 Data Root:       E:\motion_planning\data\processed\prediction_pt_85k
 Output Dir:      .\checkpoints\v8_hardcls
 Resume Checkpoint: .\checkpoints\v6_temporal\best_error_score.pth
 Epochs:          20 (Batch: 32, LR: 0.0001)
 Neighbors/Map:   16 hist / 64 map pts
 Loss extras:     time_weight_end=2.5, weight_fde=0.75, cls=0.8, hard_cls=0.5
 aWTA:            tau 0.5->0.25, Top-2->1
 Workers/Prefetch: 8/4
 AMP:             bf16 (torch.bfloat16)
 Compute Device:  cuda (NVIDIA GeForce RTX 5080)
================================================================================
-> Detected 1 window(s) per pack
-> Train Scenes: 229653 | Val Scenes: 25725 | Train windows: 229653 | Val windows: 25725
-> Model params: 1.514M
-> Loading compatible weights from: .\checkpoints\v6_temporal\best_error_score.pth
-> Loaded 50/50 tensors (new layers stay random/zero)
-> Optimizer: AdamW fused=True
 [Epoch 02/20] Step [00150/7177] | Loss: 20.9681 | minADE6: 0.811m | minADE1: 1.463m | 10.0 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [00200/7177] | Loss: 21.6560 | minADE6: 0.849m | minADE1: 1.509m | 9.6 steps/s | GPU -1% 100MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [00400/7177] | Loss: 21.7049 | minADE6: 0.825m | minADE1: 1.504m | 9.4 steps/s | GPU -1% 100MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [00600/7177] | Loss: 20.8519 | minADE6: 0.814m | minADE1: 1.491m | 9.6 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [00800/7177] | Loss: 20.1650 | minADE6: 0.824m | minADE1: 1.501m | 9.7 steps/s | GPU -1% 103MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [01000/7177] | Loss: 20.2955 | minADE6: 0.828m | minADE1: 1.511m | 9.7 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [01200/7177] | Loss: 20.2282 | minADE6: 0.827m | minADE1: 1.495m | 9.9 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [01400/7177] | Loss: 20.5542 | minADE6: 0.828m | minADE1: 1.478m | 9.6 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [01600/7177] | Loss: 20.1539 | minADE6: 0.834m | minADE1: 1.490m | 9.5 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [01800/7177] | Loss: 21.3030 | minADE6: 0.846m | minADE1: 1.539m | 9.6 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
